COUNT,LAT,LONG
1,49.2238602003454,-123.090425526949
4,49.2613158916217,-123.113935739267
4,49.2832812183075,-123.113486260577
2,49.2630182016568,-123.120131523468
10,49.2627945078481,-123.092383848432
10,49.2627957330897,-123.092527617098
1,49.263184654494,-123.185359171989
2,49.2911656407352,-123.132223745792
7,49.2649734935878,-123.13751409121
5,49.2421687651971,-123.059663050772
10,49.2387984956199,-123.064974642237
6,49.2627641711892,-123.088658554441
4,49.2638649648983,-123.171645733057
1,49.2842810477416,-123.109867987073
1,49.2843178408992,-123.10995950883
10,49.2847297198002,-123.109610350921
2,49.2806888111894,-123.131126018966
9,49.2805822461069,-123.096987776754
9,49.2805840378627,-123.097103549699
9,49.2805875434421,-123.0972135513
6,49.2810489346567,-123.100740289318
6,49.2810506286372,-123.100850412263
1,49.281566911093,-123.096214504653
3,49.278158539563,-123.129111950566
3,49.2782071802913,-123.129044159055
6,49.2813724907459,-123.133427569368
3,49.2646326475055,-123.138942463385
3,49.2647149558411,-123.138940632747
3,49.2647968144168,-123.138938800841
1,49.2697188361796,-123.098427232213
1,49.2545116074027,-123.11564443608
1,49.2834146431117,-123.098523954379
2,49.2639784628682,-123.143743446815
1,49.2508857913143,-123.09956778188
7,49.2726086774804,-123.148639320181
7,49.2726878495593,-123.148628147926
5,49.2637628603018,-123.138976279727
5,49.2638289806384,-123.138971654776
5,49.2638982459797,-123.138969787586
1,49.2801415364825,-123.109558247001
1,49.2633996039203,-123.146024064554
1,49.2687189514109,-123.033448881441
3,49.2814933045286,-123.092208431771
2,49.2450791499989,-123.066306324011
3,49.2498199393301,-123.074489048617
3,49.243690121562,-123.100933213156
3,49.243760735246,-123.100931983167
1,49.2440787174753,-123.100920980419
1,49.2796063224972,-123.067781581648
1,49.2623856117777,-123.097582450757
7,49.2483475201822,-123.090522644854
1,49.2678643226463,-123.043771153107
3,49.2819156537836,-123.06997096393
3,49.2819182540576,-123.070133076669
5,49.273702258934,-123.057044919372
2,49.2307094703525,-123.091023007968
4,49.2673831280343,-123.070030204642
2,49.2269863359545,-123.091109700254
1,49.2287657707351,-123.09028327119
2,49.2391128752948,-123.064997873167
8,49.2355910887601,-123.06587823448
4,49.2821180114342,-123.109519959953
1,49.274120779031,-123.124447881794
2,49.2815534217133,-123.118120698979
2,49.2820319211133,-123.118163806066
4,49.2050079064203,-123.12306151548
3,49.2797561341366,-123.103282272368
1,49.2070562212439,-123.130035958645
5,49.2814877113429,-123.091889980847
1,49.2857561954714,-123.129381418943
1,49.2858013529633,-123.129460191626
1,49.2858605654867,-123.129518787585
1,49.2685424016725,-123.16510129657
1,49.2593743095425,-123.079732711372
2,49.2700432142699,-123.087203948391
1,49.2662551149657,-123.072662108346
1,49.2877735916141,-123.131315460735
2,49.2808510834409,-123.029093724314
1,49.2523123728606,-123.064931666639
12,49.2626534142981,-123.102032095753
12,49.2626577419336,-123.102214217418
1,49.2643500634243,-123.169773335075
5,49.2584131723117,-123.046053218613
4,49.2818300505803,-123.134047553537
1,49.2666648592806,-123.106958001878
1,49.2667674050047,-123.106957536263
1,49.266891541698,-123.106954381955
2,49.2677258851758,-123.143864560437
3,49.2632241850097,-123.100598400136
3,49.2621676143113,-123.090035989867
6,49.2621663725886,-123.089897858189
2,49.2799459605273,-123.111236998945
11,49.2817716611418,-123.086531685164
1,49.2477155559913,-123.185552097854
1,49.291131134553,-123.144125435881
1,49.291217310657,-123.144260459636
1,49.2425149839554,-123.064884322158
1,49.2436342785571,-123.062702690789
9,49.2818222496985,-123.107914084406
9,49.2818414955092,-123.108014499131
3,49.2841782893137,-123.106785304083
3,49.2668334113299,-123.110363144811
3,49.2668363478685,-123.110575244721
2,49.2714957645206,-123.065256589607
1,49.2753207976245,-123.133399023332
6,49.2806495219852,-123.104079180869
1,49.2890821343586,-123.124757970644
3,49.2828262704391,-123.109646653124
3,49.2829256767095,-123.109636561032
3,49.282973280569,-123.109710916589
3,49.2831356847985,-123.109667400476
1,49.2880969647475,-123.126150704896
1,49.2882253834632,-123.126344928205
1,49.288244690183,-123.121792814441
1,49.2691192880011,-123.032033037469
1,49.2841437421503,-123.100761856684
5,49.2832173716651,-123.087479587151
1,49.2692789235778,-123.098451306419
1,49.2827975260224,-123.092868798824
1,49.282799241022,-123.092973301698
1,49.2828014056852,-123.093077805425
1,49.2828031250418,-123.09317667084
16,49.2621578977123,-123.088654018524
2,49.2210646697645,-123.066257340101
1,49.2689146168722,-123.10379719423
5,49.2807608306762,-123.085634666466
1,49.2835277122928,-123.066938791736
3,49.2629537640851,-123.070901106553
1,49.2882862199086,-123.13985360544
4,49.2594650287984,-123.077962726069
1,49.2679191375078,-123.156342274677
3,49.2428154342689,-123.061546477935
1,49.2635110571801,-123.206848391616
2,49.2640980547146,-123.209818340647
3,49.2792265699178,-123.128404948339
2,49.2804285108261,-123.131835590065
2,49.21326411119,-123.139967096637
2,49.2133536206213,-123.139961870807
2,49.2683131564683,-123.148526936258
1,49.2617877253073,-123.09796745404
2,49.2818650632254,-123.065841048204
8,49.2678035197768,-123.148921835044
1,49.2657930234499,-123.103101913966
1,49.265860114778,-123.103116348814
7,49.2826103630891,-123.114629428033
7,49.2826594582765,-123.114557354768
1,49.2359443429788,-123.155877207057
1,49.2360145102788,-123.155873993617
4,49.2634432358448,-123.148811855179
1,49.2343505703472,-123.159327582848
1,49.2878720003484,-123.128230314012
2,49.2496576959216,-123.076534334612
3,49.2422640207892,-123.059844653691
12,49.2528464823012,-123.082157104704
12,49.25285401329,-123.082318595152
12,49.2529222506091,-123.08250835718
12,49.2529918510123,-123.082665829077
7,49.251284260103,-123.079081664108
4,49.2529488603974,-123.081082621744
2,49.2607272906121,-123.153801149911
1,49.2792319301488,-123.078476193285
1,49.2792333634899,-123.078352317409
1,49.2539827842202,-123.090845372224
13,49.2806752906782,-123.079524301317
2,49.2796879593084,-123.075711562687
1,49.2800889648951,-123.075710815381
5,49.2799756947911,-123.076425612496
2,49.2627157742084,-123.082417051717
7,49.2734212032908,-123.077996802068
3,49.2396538575227,-123.054033855033
3,49.2397068779654,-123.054143816761
1,49.235271208215,-123.090113966743
1,49.2353620627859,-123.090110697824
1,49.2354524681293,-123.090106741236
1,49.2355433270898,-123.0900978402
7,49.2524412905889,-123.081435620839
1,49.2241586914691,-123.065357182901
4,49.2839468137174,-123.11431019198
2,49.2662873402694,-123.109026537025
4,49.2865812989245,-123.122816935146
4,49.2284089340589,-123.091078665688
4,49.2285038249232,-123.091078840113
3,49.2907688694293,-123.136062539047
3,49.2908945797069,-123.135868992626
6,49.2584538673109,-123.04495525822
20,49.2638356235544,-123.170387043689
20,49.2638418924336,-123.170582652248
20,49.2638482274214,-123.170800252596
5,49.2492416364863,-123.101437392494
1,49.2541025226709,-123.101260997475
1,49.2541933772468,-123.101257747819
1,49.2543711087652,-123.1011608176
1,49.2544038083235,-123.101312596832
6,49.287582117464,-123.13003744391
1,49.2679236087922,-123.097111237571
4,49.2679059725916,-123.099224718304
8,49.2792948905005,-123.099266799343
2,49.2778272461588,-123.070885495737
7,49.2633599235661,-123.113142628834
2,49.2760893147843,-123.076320511497
2,49.2760894625822,-123.076096417887
2,49.2760929370571,-123.076555884373
2,49.2404442311682,-123.064955026193
2,49.2405292408343,-123.06494677111
1,49.2897535342208,-123.130060344813
1,49.2899412093937,-123.130347717799
1,49.2900700614342,-123.1305502116
1,49.2901971120655,-123.130754489455
1,49.2516787115516,-123.090605412105
8,49.2531346419637,-123.083003454044
1,49.2661098593002,-123.0746116955
4,49.2648998922943,-123.070093889539
2,49.2848620845473,-123.117056734651
2,49.2849176269703,-123.117015064474
1,49.2115206060956,-123.090343663244
5,49.280193481255,-123.121010921796
5,49.2802430316326,-123.12093748457
1,49.2826590031753,-123.112336398426
1,49.2827120094811,-123.112403480998
7,49.2791766945663,-123.098022584843
2,49.288967842455,-123.140775767936
1,49.2028981547402,-123.12776978565
2,49.2337340770424,-123.115625843249
2,49.2339117501045,-123.11561802985
3,49.2042669053797,-123.127241331865
1,49.2488646742815,-123.127109645349
1,49.206849565709,-123.123862718172
1,49.2757374169526,-123.126940968168
1,49.2760391086875,-123.126471448156
2,49.246307792488,-123.090724133904
3,49.2467867912917,-123.089811181096
2,49.2621572771875,-123.150874542172
2,49.2654555877159,-123.155487061957
1,49.2598114252177,-123.068527118021
1,49.2680804927805,-123.167566863931
1,49.2804281992429,-123.088896536946
1,49.2023853484622,-123.133871131898
1,49.2788207500531,-123.036778657353
3,49.2582622212612,-123.184651133727
3,49.2582638139625,-123.18478582249
3,49.2582676407819,-123.184923969139
4,49.2791047496562,-123.129812453733
1,49.2675682629074,-123.073286058033
1,49.2782473968037,-123.125135758539
12,49.2817384033932,-123.104759303155
12,49.2817387752105,-123.104845239319
12,49.2818153531401,-123.104714092206
10,49.283556274648,-123.106285943668
4,49.2680933494643,-123.16861625369
2,49.265975365011,-123.069322914611
3,49.2673065732512,-123.069293577011
1,49.2622177654063,-123.033305010743
1,49.2662899650336,-123.064246339867
1,49.2684068008965,-123.153912045467
1,49.2684084724658,-123.154014458064
5,49.2813968396993,-123.02807182043
3,49.2631024686928,-123.127093253645
5,49.2808591310325,-123.045285669921
5,49.2808774271452,-123.046082190459
3,49.2690872853145,-123.069255602234
3,49.2691777061685,-123.069253694367
1,49.2865514070226,-123.120915798954
1,49.2560640071888,-123.184751183506
14,49.2788059389975,-123.098826542434
4,49.2834111495298,-123.098105118618
2,49.2828816562513,-123.09719122095
7,49.2569171122575,-123.0910308564
6,49.2628442152789,-123.110300219034
1,49.2629376691539,-123.057120914258
1,49.2630127800949,-123.057118939285
2,49.2824218884784,-123.12734309365
1,49.2188865988923,-123.102286319455
4,49.282782902902,-123.092044324375
1,49.2781018544393,-123.088547883396
2,49.281509495321,-123.092378021973
1,49.2295473975857,-123.051975523211
1,49.2841533315501,-123.11460319393
2,49.2820721052097,-123.081015672987
1,49.2759054360098,-123.082270227077
1,49.2759720032422,-123.082266213374
1,49.2760435163518,-123.082264270096
1,49.2760882295761,-123.081759927103
1,49.276111433348,-123.082259571214
1,49.2761797971658,-123.082258997496
1,49.2762495107484,-123.082257738615
1,49.2763160774773,-123.082254426023
1,49.2763777433705,-123.081818161694
1,49.276383993002,-123.082251789325
1,49.2764447564469,-123.081819647357
1,49.2764532573127,-123.082249842272
1,49.2764996319753,-123.081812726544
1,49.2765378199748,-123.082238709348
1,49.2765827114552,-123.081863594907
1,49.2765926904393,-123.082238938058
1,49.2766069210132,-123.081960147565
1,49.2766552006745,-123.081880487737
1,49.2766624092024,-123.082230392575
1,49.2767057754687,-123.081849637872
1,49.2767134128172,-123.082229102539
1,49.2832690298966,-123.112187358211
2,49.2823363433113,-123.08364749238
1,49.2854238617226,-123.126692578946
3,49.247369670211,-123.184446068476
2,49.2678557577484,-123.168691183422
3,49.2644089295996,-123.173130565481
1,49.2248596784485,-123.064903530068
1,49.2659742529604,-123.142131823227
4,49.2578583247171,-123.139205824314
5,49.2704385423979,-123.148113277933
1,49.2911961628961,-123.142075172286
1,49.291284149614,-123.142217349058
1,49.2584632579469,-123.077817518041
4,49.2873958065889,-123.129735939391
1,49.2245558285147,-123.101270101627
1,49.2463058905957,-123.101957956972
5,49.2336808183182,-123.034526004546
3,49.2815634880003,-123.096004128946
1,49.2608633217122,-123.116286093249
16,49.2637290366541,-123.185425824697
1,49.244911614572,-123.089514264688
1,49.2644551827345,-123.176972086735
9,49.2534916261196,-123.067586344815
2,49.2828777846061,-123.096981526201
8,49.280679644243,-123.079733298655
1,49.2848030762725,-123.110025930257
2,49.2885466170136,-123.125843817315
9,49.2777117849112,-123.125949540798
9,49.2777604396747,-123.12587542249
1,49.2834038440459,-123.11251685576
6,49.2744012215721,-123.081078652562
5,49.256633463386,-123.089025716876
5,49.2568175487583,-123.08919123564
5,49.2568261378573,-123.089367570443
5,49.2708343668092,-123.086102877023
1,49.2595518415956,-123.139141361391
5,49.2667684437456,-123.142201457429
5,49.2667796299833,-123.141882593842
6,49.2816585745437,-123.100605272234
1,49.2862337084847,-123.115919426108
1,49.286283559938,-123.115990924025
2,49.2653416576059,-123.106498611922
3,49.2818965348255,-123.093012166263
7,49.2815253642288,-123.06907032174
7,49.2815270533886,-123.069253895001
2,49.2860982662647,-123.141622283814
1,49.285787409514,-123.138911374324
1,49.246322840737,-123.091022453024
5,49.2552063210685,-123.089464497553
1,49.2711700633872,-123.071246719737
3,49.2778556240612,-123.098638075431
3,49.2778959586294,-123.098637880896
1,49.285087096752,-123.112973932777
1,49.2851387435695,-123.113051054166
5,49.2791920212267,-123.098710736507
5,49.2791964194452,-123.098816474734
1,49.284625628455,-123.113430920192
3,49.2342240992368,-123.100823209434
3,49.2777885226854,-123.067826990539
2,49.2772603394591,-123.067511400097
2,49.2772413889319,-123.0660914799
1,49.2567499498929,-123.043852878011
2,49.2740700672954,-123.069966973571
2,49.274158222562,-123.069962973989
1,49.279695827697,-123.07441361933
1,49.2796971500148,-123.074720239797
1,49.2796979605425,-123.074857731934
1,49.27969814102,-123.074578625655
1,49.2796987700945,-123.074996475241
1,49.2796995793994,-123.075135342294
1,49.2797029874791,-123.075426965725
1,49.2797030798333,-123.075285350212
1,49.2797046966739,-123.075564473012
1,49.281942816913,-123.071590072564
1,49.2819434510026,-123.071727983126
1,49.2819437318669,-123.071999554163
1,49.2819438157481,-123.071864807074
1,49.278301274485,-123.076512336794
3,49.2809141469005,-123.069062029681
5,49.2323961727463,-123.07747745095
1,49.2391461575421,-123.052925221531
7,49.281411263124,-123.087886762
7,49.2814129736363,-123.087991261761
1,49.2913726587203,-123.134713088208
1,49.2883478841585,-123.122174934017
1,49.2786177100595,-123.119554602653
1,49.2786690753706,-123.119473608845
1,49.2787172691164,-123.119406356034
1,49.2787659290371,-123.119323169318
3,49.2792450084934,-123.12051443578
3,49.2792909562,-123.120445115384
3,49.2793400564672,-123.120371677834
3,49.2793860182357,-123.120297407564
3,49.2454392863625,-123.100855082858
3,49.245505403015,-123.100853156578
3,49.245570173982,-123.100847105669
3,49.2477160475194,-123.100746404716
8,49.2480093250528,-123.100708528628
2,49.2496917607012,-123.100621316693
7,49.262869707956,-123.112667861704
1,49.2685025111823,-123.105100397227
1,49.2685456566614,-123.105134991319
1,49.2685499703253,-123.105336942895
1,49.2685524729351,-123.105551660673
1,49.268554970177,-123.105761979743
6,49.2845357050356,-123.062766857684
2,49.2788370062956,-123.128064738975
8,49.2816720528407,-123.101537085353
8,49.2816748182543,-123.101665650186
4,49.2686130539005,-123.167851808008
1,49.2815449095874,-123.095094432715
1,49.2815470586946,-123.095204571194
2,49.2816123693713,-123.098808693519
1,49.2816046266335,-123.098395103154
6,49.2806632849535,-123.100966340736
1,49.2824961816407,-123.091193498764
2,49.2879482515493,-123.141142433578
1,49.2878202853116,-123.141334559745
5,49.288584921037,-123.140174022991
1,49.2685675596891,-123.164806253799
8,49.2810621391931,-123.101583255087
8,49.2810643010332,-123.101682118235
8,49.2816628761811,-123.100819775351
8,49.2816641342337,-123.100924275174
8,49.2817635141922,-123.100737303765
1,49.2512512045651,-123.090570936327
7,49.282067034978,-123.10243970124
7,49.2820700905971,-123.102544205686
1,49.2615326330511,-123.111685925564
1,49.280683017113,-123.132271436009
4,49.2631761300918,-123.10252513042
4,49.2634603999164,-123.102501116554
2,49.2798295327485,-123.130963659672
4,49.2786038248942,-123.123393244972
4,49.2288498811355,-123.090277229976
1,49.2765356451055,-123.12556225589
8,49.2631377807052,-123.129670464276
8,49.2631420451868,-123.129878017315
8,49.2631449502649,-123.130086240298
11,49.2785497028978,-123.124698501144
18,49.2542023429178,-123.08529477292
18,49.2542892444548,-123.085406095701
2,49.2773815152244,-123.127330639068
1,49.2242697667943,-123.101284047308
1,49.2625913997379,-123.153235893119
1,49.2625945574342,-123.153432172135
2,49.2805496360777,-123.136365451558
4,49.2691808512228,-123.078156762099
1,49.2792468092632,-123.12553139761
2,49.2850807857077,-123.114768549121
1,49.2789138422357,-123.128543522567
1,49.2789955619752,-123.128666100155
1,49.2790714492883,-123.128775601487
1,49.2790937518113,-123.128530117474
1,49.2791659258454,-123.128500744796
2,49.2574025688552,-123.090236062888
2,49.2574051632251,-123.090369373734
2,49.2574452620513,-123.090509624623
6,49.2818703948437,-123.108161065272
6,49.281895183964,-123.108316408643
6,49.2819153321785,-123.108413374474
1,49.2788668359615,-123.124891097335
1,49.2789380487689,-123.124917963735
1,49.2789867028627,-123.124843842576
1,49.2790406859626,-123.124749441321
1,49.2790840199018,-123.124695599843
1,49.2791326800797,-123.124615703708
1,49.2791362378281,-123.124486211424
1,49.2791601157244,-123.124448461925
1,49.2792304430519,-123.124462387844
1,49.2792790968517,-123.124388265798
1,49.2793457799777,-123.12436148547
3,49.2643475849174,-123.169623507894
1,49.2747665155214,-123.071951204756
1,49.2756486049575,-123.073771673591
1,49.2584692469399,-123.078670292612
5,49.2763648066074,-123.127982640884
5,49.2764134649507,-123.127906478121
1,49.2323428453039,-123.031443042444
9,49.2764834298426,-123.098465603822
7,49.282501160649,-123.077776920069
7,49.28250326068,-123.077997622555
7,49.2825044192551,-123.078279634248
7,49.2827099713369,-123.077594525667
7,49.2827608234655,-123.078218027865
7,49.2827683500875,-123.078394039065
1,49.2639420665055,-123.119199180496
2,49.2722526846684,-123.154736789314
4,49.2621982936404,-123.093627811483
1,49.2779680558057,-123.123551775253
1,49.2633131287616,-123.09931004408
1,49.2638472663268,-123.136406561952
1,49.2668667721035,-123.141253999462
5,49.2816808099321,-123.102001470056
2,49.2886924180381,-123.130564024788
6,49.2674772743505,-123.100417507406
6,49.2675799859366,-123.10022596299
6,49.2676789365097,-123.100222067188
14,49.281440938387,-123.061061887426
