"The data shown here is provided by Statistics Canada from the 2011 Census as a custom data order for the City of Vancouver, using the City's 22 Local Area geography.",,,,,,,,,,,,,,,,,,,,,,,,
"The data may be reused, reproduced or redistributed provided they are credited to Statistics Canada, Census 2011, custom order for City of Vancouver Local Areas'",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
 CENSUS DATA FOR CITY OF VANCOUVER LOCAL AREAS 2011 ,,,,,,,,,,,,,,,,,,,,,,,,
,Arbutus-Ridge,Downtown,Dunbar-Southlands,Fairview,Grandview-Woodland,Hastings-Sunrise,Kensington-Cedar Cottage,Kerrisdale,Killarney,Kitsilano,Marpole,Mount Pleasant,Oakridge,Renfrew-Collingwood,Riley Park,Shaughnessy,South Cambie,Strathcona,Sunset,Victoria-Fraserview,West End,West Point Grey,Vancouver CSD (City),CMA of Vancouver
         Pashto , -   , -   , -   , -   , 5 , 5 , 10 , -   , 5 , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , 80 , -   , 5 , -   , 125 , 815 
         Persian (Farsi) , 130 ," 2,895 ", 75 , 305 , 80 , 130 , 95 , 75 , 105 , 270 , 165 , 105 , 55 , 115 , 45 , 55 , 50 , 30 , 100 , 45 ," 1,175 ", 155 ," 6,260 "," 34,425 "
         Polish , 40 , 370 , 70 , 210 , 160 , 60 , 190 , 30 , 245 , 205 , 80 , 180 , 45 , 125 , 85 , 30 , 45 , 30 , 65 , 50 , 335 , 55 ," 2,705 "," 12,650 "
         Portuguese , 35 , 365 , 45 , 110 , 185 , 200 , 525 , 15 , 140 , 130 , 50 , 90 , 15 , 685 , 85 , 5 , 35 , 15 , 110 , 145 , 385 , 35 ," 3,415 "," 9,210 "
         Romanian , 30 , 150 , 25 , 105 , 40 , 15 , 40 , 15 , 60 , 90 , 105 , 50 , 35 , 30 , 30 , 5 , 5 , 10 , 25 , 10 , 250 , 20 ," 1,150 "," 6,885 "
         Rundi (Kirundi) , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , 15 , 5 , 5 , -   , -   , 40 , 125 
         Russian , 55 , 890 , 60 , 220 , 100 , 60 , 80 , 60 , 210 , 270 , 325 , 150 , 80 , 130 , 75 , 25 , 50 , 25 , 65 , 40 , 680 , 75 ," 3,705 "," 15,415 "
         Rwanda (Kinyarwanda) , -   , -   , -   , -   , 10 , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , 25 , 65 
"         Semitic languages, n.i.e. ", -   , 5 , -   , -   , -   , 5 , 5 , -   , 5 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 10 , 5 , 5 , -   , 50 , 675 
         Serbian , 25 , 625 , 40 , 205 , 45 , 65 , 45 , 30 , 70 , 155 , 80 , 50 , 10 , 120 , 25 , 5 , 20 , 10 , 10 , 15 , 410 , 20 ," 2,085 "," 5,985 "
         Serbo-Croatian , 15 , 150 , 5 , 60 , 20 , 10 , 5 , -   , 15 , 15 , 20 , 10 , 5 , 15 , 5 , -   , 5 , 5 , -   , 5 , 110 , 5 , 485 ," 1,215 "
         Shanghainese , 15 , 30 , -   , 15 , 15 , 35 , 15 , 15 , 50 , 5 , 40 , 5 , 40 , 60 , 15 , 10 , 5 , 10 , 25 , 20 , 25 , 5 , 460 ," 1,220 "
"         Sign languages, n.i.e. ", 5 , -   , -   , 5 , 5 , 5 , 5 , -   , 5 , -   , 5 , 5 , 5 , 10 , 5 , -   , -   , -   , 10 , 5 , -   , -   , 65 , 315 
         Sindhi , 5 , 60 , 5 , 25 , 5 , -   , 10 , -   , 20 , 10 , 5 , 10 , 5 , 5 , 5 , 15 , -   , 5 , 5 , 5 , 40 , 10 , 245 ," 1,695 "
         Sinhala (Sinhalese) , -   , 20 , 5 , -   , -   , 15 , 30 , -   , 5 , -   , 5 , 10 , 5 , 20 , 5 , -   , -   , -   , 35 , 15 , 15 , 5 , 205 ," 1,230 "
"         Sino-Tibetan languages, n.i.e. ", 5 , 5 , -   , -   , -   , -   , 35 , -   , 5 , -   , 5 , 5 , -   , -   , -   , -   , -   , 10 , 5 , -   , 5 , -   , 70 , 750 
"         Slavic languages, n.i.e. ", -   , 20 , -   , -   , 5 , -   , 5 , -   , -   , 5 , 15 , 5 , -   , 5 , 5 , -   , -   , -   , 5 , 5 , 10 , -   , 80 , 275 
         Slovak , 10 , 90 , 5 , 30 , 15 , 10 , 15 , -   , 15 , 60 , 15 , 20 , 5 , 15 , 5 , -   , 5 , 10 , -   , 5 , 135 , 10 , 480 ," 2,330 "
         Slovenian , 10 , 5 , 5 , 5 , 10 , 5 , 10 , 5 , 5 , 5 , 5 , 15 , 10 , 15 , 10 , -   , 5 , -   , 15 , 5 , 20 , 5 , 155 , 590 
         Somali , -   , 10 , -   , -   , 15 , 5 , 20 , -   , 5 , -   , 5 , 5 , -   , 30 , -   , -   , -   , 5 , 10 , 5 , 10 , -   , 130 , 910 
         Spanish , 140 ," 1,380 ", 145 , 520 , 600 , 720 , 690 , 95 , 650 , 670 , 265 , 490 , 110 , 820 , 215 , 85 , 130 , 175 , 605 , 410 ," 1,450 ", 145 ," 10,500 "," 32,300 "
         Swahili , 5 , 15 , 5 , 5 , 5 , 5 , 5 , 5 , -   , -   , 10 , 5 , -   , 5 , 5 , -   , 5 , 10 , 10 , 5 , 5 , -   , 105 , 575 
         Swedish , 10 , 70 , 20 , 50 , 20 , 10 , 10 , 10 , 10 , 50 , 5 , 25 , 10 , 10 , 10 , 20 , 5 , 5 , -   , 10 , 65 , 10 , 440 ," 1,430 "
"         Tagalog (Pilipino, Filipino) ", 125 , 440 , 155 , 265 , 460 , 900 ," 3,075 ", 150 ," 1,020 ", 160 , 890 ," 1,175 ", 190 ," 3,730 "," 1,030 ", 130 , 75 , 50 ," 2,825 "," 1,440 ", 445 , 80 ," 18,800 "," 58,505 "
         Taiwanese , 110 , 80 , 130 , 50 , 5 , 35 , 15 , 130 , 90 , 40 , 190 , 5 , 175 , 60 , 80 , 130 , 40 , -   , 80 , 55 , 45 , 65 ," 1,600 "," 5,475 "
         Tamil , 5 , 20 , 5 , 10 , 20 , 10 , 230 , 10 , 45 , 10 , 55 , 65 , 20 , 145 , 95 , 10 , 5 , 5 , 510 , 90 , 35 , 5 ," 1,395 "," 2,910 "
         Telugu , 5 , 15 , 5 , -   , -   , 5 , -   , 5 , 5 , 10 , 5 , 5 , 5 , 10 , 5 , -   , -   , -   , 15 , 10 , 5 , 5 , 95 , 470 
         Thai , 20 , 115 , 15 , 15 , 30 , 20 , 35 , 10 , 10 , 30 , 40 , 35 , 5 , 65 , 30 , 15 , -   , -   , 20 , 20 , 130 , 15 , 665 ," 1,655 "
         Tibetan languages , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , 5 , 5 , -   , 5 , -   , -   , 5 , -   , -   , 15 , 5 , -   , -   , 45 , 170 
         Tigrigna , -   , 10 , -   , 5 , 15 , -   , 5 , -   , 10 , 5 , 5 , 30 , -   , 20 , -   , -   , -   , 5 , 15 , -   , 5 , -   , 125 , 515 
         Turkish , 20 , 170 , 20 , 35 , 15 , 20 , 15 , 5 , 50 , 65 , 25 , 25 , 10 , 30 , 10 , -   , 10 , 5 , 20 , 5 , 245 , 15 , 815 ," 2,545 "
         Ukrainian , 25 , 80 , 30 , 105 , 30 , 45 , 30 , 20 , 60 , 65 , 45 , 40 , 20 , 45 , 45 , 10 , 15 , 10 , 20 , 25 , 105 , 20 , 890 ," 4,260 "
         Urdu , 10 , 65 , -   , 15 , 25 , 45 , 45 , 15 , 25 , 10 , 20 , 15 , 10 , 35 , 10 , 5 , 5 , 5 , 265 , 35 , 45 , 10 , 700 ," 7,755 "
         Vietnamese , 20 , 205 , 15 , 55 , 460 ," 1,445 "," 2,380 ", 15 , 575 , 55 , 125 , 420 , 40 ," 2,190 ", 295 , 25 , 25 , 345 , 810 , 975 , 90 , 10 ," 10,585 "," 21,695 "
         Yiddish , 15 , 10 , 10 , 20 , 5 , -   , -   , 5 , -   , 25 , 5 , 5 , 30 , 5 , 5 , 10 , 10 , -   , 5 , -   , 15 , 10 , 185 , 290 
       Other languages , 25 , 180 , 35 , 70 , 145 , 85 , 215 , 10 , 110 , 80 , 70 , 105 , 35 , 210 , 70 , 5 , 5 , 70 , 175 , 125 , 165 , 15 ," 1,980 "," 6,340 "
   Multiple responses , 300 ," 1,195 ", 400 , 685 , 610 ," 1,120 "," 1,700 ", 255 , 935 , 660 , 765 , 665 , 330 ," 2,175 ", 635 , 170 , 180 , 235 ," 1,730 "," 1,210 ", 905 , 190 ," 17,035 "," 61,015 "
     English and French , 30 , 160 , 50 , 135 , 105 , 70 , 100 , 20 , 45 , 160 , 50 , 95 , 20 , 55 , 75 , 25 , 25 , 25 , 40 , 25 , 150 , 40 ," 1,505 "," 4,380 "
     English and non-official language , 245 , 870 , 320 , 480 , 460 ," 1,010 "," 1,520 ", 220 , 835 , 435 , 665 , 510 , 285 ," 2,060 ", 535 , 135 , 140 , 185 ," 1,645 "," 1,125 ", 630 , 135 ," 14,425 "," 53,235 "
     French and non-official language , 20 , 120 , 15 , 30 , 45 , 30 , 50 , 5 , 40 , 40 , 25 , 45 , 15 , 40 , 20 , 5 , 5 , 20 , 20 , 45 , 105 , 10 , 755 ," 2,260 "
"     English, French and non-official language ", 10 , 45 , 15 , 30 , 15 , 10 , 30 , 10 , 10 , 25 , 20 , 15 , 10 , 20 , 10 , 5 , 5 , 5 , 25 , 15 , 30 , 5 , 355 ," 1,135 "
   Detailed mother tongue - Males excluding institutional residents ," 7,130 "," 28,620 "," 10,495 "," 13,665 "," 13,265 "," 16,535 "," 23,095 "," 6,885 "," 13,305 "," 19,240 "," 11,405 "," 12,810 "," 5,705 "," 24,520 "," 10,385 "," 4,070 "," 3,500 "," 6,010 "," 17,770 "," 14,525 "," 23,255 "," 6,095 "," 291,505 "," 1,121,310 "
     Single responses ," 7,015 "," 27,980 "," 10,315 "," 13,355 "," 12,965 "," 16,000 "," 22,305 "," 6,785 "," 12,865 "," 18,955 "," 11,080 "," 12,525 "," 5,550 "," 23,485 "," 10,090 "," 3,985 "," 3,425 "," 5,875 "," 16,920 "," 13,910 "," 22,800 "," 6,005 "," 283,435 "," 1,092,100 "
       English ," 3,330 "," 17,135 "," 7,390 "," 10,065 "," 9,115 "," 7,090 "," 9,865 "," 3,915 "," 5,200 "," 15,080 "," 4,625 "," 9,130 "," 1,865 "," 7,855 "," 6,295 "," 2,395 "," 2,270 "," 3,375 "," 5,180 "," 4,105 "," 15,055 "," 4,345 "," 154,040 "," 645,490 "
       French , 75 , 640 , 110 , 325 , 285 , 160 , 260 , 65 , 100 , 475 , 105 , 295 , 30 , 135 , 150 , 50 , 65 , 180 , 105 , 65 , 780 , 120 ," 4,570 "," 12,080 "
       Non-official languages ," 3,610 "," 10,205 "," 2,810 "," 2,970 "," 3,565 "," 8,755 "," 12,185 "," 2,805 "," 7,570 "," 3,400 "," 6,345 "," 3,095 "," 3,660 "," 15,495 "," 3,640 "," 1,545 "," 1,085 "," 2,320 "," 11,635 "," 9,735 "," 6,965 "," 1,545 "," 124,825 "," 434,530 "
         Selected Aboriginal languages , -   , 20 , 5 , -   , 15 , -   , -   , -   , 5 , -   , 5 , 10 , -   , -   , -   , -   , -   , 15 , 5 , -   , 10 , -   , 80 , 155 
           Atikamekw , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
"           Cree, n.o.s. ", -   , 15 , -   , -   , 15 , -   , -   , -   , 5 , 5 , -   , 5 , -   , -   , -   , -   , -   , 10 , -   , 5 , 5 , -   , 65 , 115 
           Dene , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 10 
           Innu/Montagnais , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Inuktitut , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 
           Mi'kmaq , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   
           Ojibway , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 25 
           Oji-Cree , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   
           Stoney , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   
         Selected non-Aboriginal languages ," 3,600 "," 10,075 "," 2,790 "," 2,935 "," 3,480 "," 8,705 "," 12,080 "," 2,805 "," 7,520 "," 3,355 "," 6,315 "," 3,045 "," 3,645 "," 15,400 "," 3,615 "," 1,540 "," 1,085 "," 2,270 "," 11,540 "," 9,680 "," 6,860 "," 1,530 "," 123,780 "," 431,300 "
"           African languages, n.i.e. ", -   , 5 , -   , -   , -   , 5 , -   , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , 30 , 255 
           Afrikaans , -   , 35 , 5 , 10 , 5 , 10 , 5 , 5 , -   , 10 , 5 , 5 , -   , -   , 5 , -   , 5 , -   , -   , -   , 15 , 5 , 120 , 625 
           Akan (Twi) , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , 5 , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 35 , 190 
           Albanian , -   , 10 , -   , 20 , -   , 5 , -   , -   , 5 , 5 , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , 70 , 505 
           Amharic , -   , 15 , -   , 10 , 10 , -   , 20 , -   , 15 , -   , 5 , 20 , -   , 10 , -   , -   , -   , 10 , 10 , 10 , 20 , -   , 165 , 520 
           Arabic , 10 , 665 , 10 , 55 , 35 , 30 , 45 , 10 , 35 , 35 , 50 , 40 , 15 , 85 , 25 , 15 , 5 , 5 , 55 , 35 , 395 , 10 ," 1,670 "," 6,105 "
           Armenian , -   , 15 , 10 , 5 , 5 , 5 , 5 , -   , 5 , 15 , 15 , -   , -   , 5 , 10 , 5 , 5 , -   , 5 , 5 , 15 , -   , 140 , 500 
"           Bantu languages, n.i.e. ", -   , 5 , -   , -   , 5 , 5 , 5 , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , -   , 5 , 5 , -   , 5 , -   , 40 , 155 
           Bengali , -   , 15 , 5 , 5 , 5 , 25 , 15 , 5 , 20 , 5 , 30 , 50 , 10 , 45 , 15 , -   , -   , 10 , 150 , 40 , 10 , 10 , 465 ," 1,095 "
           Berber languages (Kabyle) , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 10 
           Bisayan languages , -   , 5 , -   , -   , 5 , 15 , 80 , -   , 25 , 5 , 10 , 30 , 5 , 75 , 15 , -   , -   , -   , 55 , 20 , 5 , -   , 370 ," 1,220 "
           Bosnian , -   , 20 , -   , 10 , -   , 5 , 5 , -   , 10 , 5 , 15 , -   , -   , 10 , 5 , -   , -   , -   , -   , -   , 15 , 5 , 110 , 555 
           Bulgarian , -   , 55 , -   , 15 , 5 , 5 , 5 , -   , -   , 20 , 15 , 20 , 5 , 5 , -   , -   , -   , -   , -   , -   , 45 , -   , 205 , 815 
           Burmese , -   , 5 , -   , -   , 5 , 15 , 35 , -   , 5 , -   , -   , 15 , -   , 45 , -   , 5 , -   , -   , 30 , 10 , -   , -   , 175 , 455 
           Cantonese , 645 , 955 , 465 , 325 , 785 ," 3,355 "," 3,710 ", 585 ," 2,335 ", 240 ," 1,480 ", 400 , 950 ," 4,815 ", 925 , 245 , 230 , 855 ," 1,710 "," 3,780 ", 215 , 170 ," 29,165 "," 59,360 "
"           Chinese, n.o.s. ", 860 , 950 , 630 , 255 , 495 ," 1,820 "," 2,175 ", 665 ," 1,500 ", 280 ," 1,445 ", 260 , 970 ," 2,910 ", 635 , 370 , 190 , 520 ," 1,080 "," 2,170 ", 280 , 270 ," 20,730 "," 51,720 "
           Creoles , -   , 5 , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , 5 , 5 , -   , -   , 35 , 235 
           Croatian , 10 , 65 , 15 , 35 , 55 , 75 , 35 , 5 , 40 , 25 , 10 , 20 , 15 , 75 , 15 , 10 , 5 , 20 , 15 , 45 , 60 , 10 , 635 ," 2,815 "
           Czech , 5 , 40 , 15 , 50 , 20 , 15 , 20 , 10 , 10 , 35 , 20 , 30 , 5 , 5 , 10 , 10 , 5 , 5 , 5 , 10 , 115 , 10 , 435 ," 1,735 "
           Danish , 5 , 15 , 15 , 25 , 10 , 5 , 10 , 5 , -   , 30 , 5 , 15 , -   , 5 , 5 , -   , -   , 10 , 5 , 5 , 20 , 5 , 205 ," 1,125 "
           Dutch , 25 , 85 , 35 , 60 , 25 , 20 , 20 , 20 , 25 , 75 , 20 , 25 , 10 , 15 , 20 , 15 , -   , 10 , 15 , 10 , 110 , 40 , 675 ," 3,990 "
           Estonian , 5 , 5 , -   , 5 , -   , -   , 5 , -   , -   , 5 , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 50 , 245 
           Finnish , 5 , 20 , 10 , 10 , 5 , 10 , 10 , -   , 15 , 10 , 10 , 5 , -   , 5 , 5 , -   , -   , 5 , -   , 5 , 15 , 5 , 150 , 800 
           Flemish , -   , 5 , -   , 5 , 5 , -   , 5 , 5 , -   , 10 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , -   , 35 , 100 
           Fukien , 5 , 15 , 10 , 5 , 5 , 15 , 20 , 15 , 30 , -   , 20 , 5 , 15 , 25 , 10 , -   , 5 , 5 , 5 , 15 , 5 , 5 , 245 , 815 
           German , 55 , 345 , 190 , 190 , 130 , 70 , 170 , 80 , 90 , 360 , 85 , 140 , 45 , 110 , 120 , 35 , 35 , 55 , 210 , 100 , 425 , 115 ," 3,155 "," 12,755 "
           Greek , 125 , 40 , 65 , 55 , 45 , 30 , 70 , 30 , 50 , 275 , 20 , 50 , 10 , 70 , 70 , 20 , 15 , 10 , 20 , 20 , 40 , 35 ," 1,165 "," 2,620 "
           Gujarati , 5 , 45 , 5 , 15 , 5 , 20 , 30 , 5 , 40 , 10 , 15 , 10 , 5 , 60 , 15 , -   , 5 , -   , 90 , 10 , 30 , 10 , 430 ," 2,855 "
           Hakka , 5 , 5 , -   , 5 , 5 , 15 , 20 , 10 , 15 , 5 , 15 , -   , 5 , 45 , 5 , -   , -   , -   , 15 , 10 , -   , -   , 180 , 460 
           Hebrew , 10 , 55 , 30 , 35 , 10 , -   , 15 , 20 , 5 , 45 , 40 , 10 , 20 , 10 , 45 , 10 , 25 , -   , 15 , 5 , 40 , 15 , 460 , 845 
           Hindi , 15 , 75 , 5 , 15 , 15 , 55 , 290 , 20 , 95 , 25 , 35 , 25 , 25 , 390 , 65 , 5 , -   , 5 , 430 , 210 , 90 , 15 ," 1,905 "," 11,005 "
           Hungarian , 15 , 70 , 25 , 45 , 30 , 15 , 20 , 15 , 35 , 70 , 45 , 30 , 15 , 25 , 30 , 10 , 10 , 15 , 20 , 15 , 70 , 20 , 650 ," 2,875 "
           Ilocano , -   , 10 , -   , -   , 10 , 25 , 135 , -   , 20 , -   , 35 , 25 , 5 , 150 , 25 , -   , 5 , -   , 135 , 30 , -   , -   , 615 ," 1,330 "
"           Indo-Iranian languages, n.i.e. ", -   , 5 , -   , -   , -   , -   , 5 , -   , 10 , 5 , 5 , 5 , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , 40 , 225 
           Italian , 45 , 125 , 35 , 70 , 255 , 690 , 205 , 10 , 80 , 105 , 40 , 50 , 15 , 340 , 55 , 15 , 10 , 25 , 40 , 110 , 115 , 20 ," 2,440 "," 8,195 "
           Japanese , 60 , 350 , 65 , 145 , 55 , 80 , 80 , 50 , 80 , 115 , 135 , 70 , 40 , 175 , 45 , 25 , 40 , 25 , 45 , 50 , 465 , 50 ," 2,240 "," 5,550 "
           Khmer (Cambodian) , -   , -   , -   , -   , 10 , 10 , 35 , -   , 5 , 5 , -   , 15 , -   , 30 , 5 , -   , -   , 5 , 20 , 15 , 5 , -   , 150 , 545 
           Korean , 215 , 855 , 105 , 95 , 45 , 35 , 75 , 145 , 245 , 100 , 120 , 120 , 145 , 195 , 30 , 30 , 25 , 15 , 55 , 45 , 570 , 50 ," 3,295 "," 19,955 "
           Kurdish , -   , 15 , -   , -   , 15 , 20 , 25 , -   , 35 , 5 , 5 , 15 , -   , 25 , 5 , -   , -   , 10 , 15 , 5 , 25 , -   , 210 , 760 
           Lao , -   , 10 , -   , -   , -   , 5 , 5 , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , 50 , 390 
           Latvian , -   , 10 , -   , 5 , 5 , -   , 5 , -   , -   , 10 , 5 , 5 , -   , 5 , -   , 5 , -   , -   , -   , -   , 5 , -   , 55 , 175 
           Lingala , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , 15 
           Lithuanian , -   , -   , -   , 5 , 5 , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 10 , -   , 30 , 115 
           Macedonian , -   , 10 , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , 25 , 90 
           Malay , 20 , 75 , 10 , 10 , 15 , 10 , 10 , 10 , 35 , 15 , 25 , 10 , 25 , 120 , 5 , 10 , 15 , 5 , 20 , 20 , 50 , -   , 495 ," 1,490 "
           Malayalam , -   , 5 , -   , 5 , -   , 10 , 20 , -   , 15 , 5 , -   , -   , -   , 15 , -   , -   , -   , -   , 60 , 15 , 5 , -   , 160 , 625 
           Maltese , -   , -   , -   , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 15 , 45 
           Mandarin ," 1,075 ", 710 , 600 , 240 , 125 , 300 , 480 , 755 , 625 , 260 ," 1,215 ", 105 , 785 , 995 , 315 , 420 , 180 , 195 , 320 , 460 , 255 , 305 ," 10,715 "," 41,950 "
           Marathi , -   , 5 , -   , 5 , -   , -   , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 10 , 5 , 10 , -   , 45 , 200 
           Nepali , -   , 5 , -   , -   , -   , -   , 20 , 5 , -   , -   , 5 , 10 , -   , 5 , 5 , -   , 5 , 5 , 30 , 5 , -   , -   , 85 , 370 
"           Niger-Congo languages, n.i.e. ", -   , -   , -   , -   , -   , -   , 10 , -   , 10 , 5 , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , 5 , 5 , -   , 35 , 185 
           Norwegian , 5 , 10 , 10 , 5 , 5 , -   , 5 , 5 , 5 , 5 , 5 , 5 , -   , -   , 5 , 5 , -   , -   , -   , 5 , 15 , 5 , 95 , 475 
           Oromo , -   , -   , -   , -   , 5 , 5 , -   , -   , 5 , -   , 5 , 5 , -   , 5 , -   , -   , -   , 10 , 5 , 5 , -   , -   , 40 , 130 
           Panjabi (Punjabi) , 20 , 130 , 30 , 30 , 25 , 90 , 585 , 60 , 380 , 40 , 115 , 35 , 115 , 630 , 120 , 25 , 10 , 20 ," 4,180 ", 795 , 40 , 10 ," 7,490 "," 69,145 "
           Pashto , -   , -   , -   , -   , 5 , 5 , 5 , -   , 5 , -   , -   , -   , 5 , 5 , -   , -   , -   , -   , 45 , -   , -   , -   , 75 , 440 
           Persian (Farsi) , 65 ," 1,490 ", 35 , 155 , 50 , 70 , 65 , 35 , 45 , 130 , 90 , 70 , 30 , 65 , 25 , 25 , 25 , 20 , 45 , 20 , 605 , 85 ," 3,270 "," 17,420 "
           Polish , 20 , 185 , 35 , 80 , 90 , 25 , 100 , 5 , 105 , 75 , 45 , 75 , 15 , 55 , 35 , 15 , 30 , 25 , 35 , 25 , 155 , 25 ," 1,245 "," 5,990 "
           Portuguese , 20 , 195 , 20 , 50 , 95 , 95 , 260 , 5 , 75 , 55 , 20 , 45 , 10 , 335 , 35 , 5 , 15 , 10 , 55 , 60 , 215 , 10 ," 1,685 "," 4,410 "
           Romanian , 15 , 65 , 10 , 45 , 15 , 5 , 20 , 10 , 35 , 35 , 55 , 25 , 10 , 10 , 10 , -   , -   , 5 , 10 , -   , 125 , 10 , 525 ," 3,395 "
           Rundi (Kirundi) , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , -   , -   , 5 , 5 , -   , -   , -   , 10 , 50 
           Russian , 25 , 385 , 30 , 105 , 40 , 20 , 30 , 25 , 80 , 115 , 165 , 70 , 30 , 65 , 35 , 10 , 20 , 10 , 25 , 20 , 295 , 30 ," 1,635 "," 7,135 "
           Rwanda (Kinyarwanda) , -   , -   , -   , -   , 5 , -   , -   , -   , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 15 , 30 
"           Semitic languages, n.i.e. ", -   , -   , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , 5 , -   , -   , -   , -   , -   , -   , 5 , -   , 5 , -   , 25 , 340 
           Serbian , 15 , 295 , 20 , 85 , 25 , 30 , 30 , 15 , 30 , 80 , 40 , 20 , 5 , 60 , 10 , 5 , 10 , 5 , 5 , 5 , 200 , 15 ," 1,020 "," 3,070 "
           Serbo-Croatian , 10 , 70 , 5 , 30 , 10 , 10 , 5 , -   , 10 , 5 , 5 , -   , 5 , 10 , 5 , -   , 5 , 5 , 5 , -   , 55 , 5 , 230 , 570 
           Shanghainese , -   , 10 , -   , 10 , 5 , 15 , 5 , 10 , 20 , -   , 20 , -   , 15 , 25 , 5 , 5 , -   , 5 , 15 , 5 , 5 , -   , 185 , 520 
"           Sign languages, n.i.e. ", 5 , -   , -   , -   , 5 , 5 , 5 , -   , 5 , -   , -   , -   , -   , -   , -   , -   , -   , 5 , 5 , -   , -   , -   , 30 , 165 
           Sindhi , 5 , 30 , 5 , 10 , -   , -   , -   , 5 , 10 , -   , 5 , -   , -   , -   , -   , 5 , -   , 5 , 5 , 5 , 20 , 5 , 105 , 755 
           Sinhala (Sinhalese) , 5 , 10 , -   , -   , -   , 10 , 10 , -   , -   , -   , 5 , 5 , -   , 15 , -   , -   , -   , 5 , 20 , 5 , 10 , -   , 105 , 630 
"           Sino-Tibetan languages, n.i.e. ", -   , -   , -   , -   , -   , -   , 15 , -   , -   , -   , -   , 5 , -   , -   , -   , 5 , -   , 5 , -   , -   , -   , -   , 35 , 390 
"           Slavic languages, n.i.e. ", -   , 10 , -   , 5 , -   , -   , -   , -   , -   , 5 , 5 , 5 , -   , -   , -   , -   , -   , 5 , -   , -   , 10 , -   , 45 , 145 
           Slovak , -   , 35 , 5 , 5 , 5 , 5 , 5 , -   , 10 , 30 , 10 , 10 , -   , 5 , -   , -   , -   , 10 , -   , -   , 60 , 5 , 205 ," 1,030 "
           Slovenian , 5 , 5 , 10 , 5 , 5 , 5 , 5 , -   , 5 , 5 , -   , 5 , 5 , 5 , 5 , -   , 5 , -   , 5 , 5 , 10 , -   , 85 , 280 
