YEAR,MONTH,MEAN_TEMP_C,MIN_TEMP_C,MAX_TEMP_C,TOTAL_PERCIP_MM
2014,10,13.34193548,10.76129032,15.86612903,355.2
2014,11,6.675,3.453333333,9.85,471.7
2014,12,5.709677419,3.056451613,8.320967742,370.5
2015,1,6.378688525,4.072580645,8.66557377,359.6
2015,2,8.0625,5.466071429,10.60714286,224.6
2015,3,8.95,5.596774194,12.25,337.6
2015,4,9.822033898,5.971666667,13.61864407,119.8
2015,5,15.19032258,11.21129032,19.11774194,7.2
2015,6,18.46949153,13.90333333,22.95932203,16.6
2015,7,19.88709677,15.33387097,24.39516129,52.9
2015,8,18.94516129,14.64677419,23.2016129,133.5
2015,9,14.525,10.93333333,18.05833333,98.9
2015,10,12.38548387,9.577419355,15.14677419,214.6
2015,11,5.896666667,2.798333333,8.941666667,406.6
2015,12,5.95,3.616129032,8.165517241,458.8
