"""Date/Time""","""Year""","""Month""","""Day""","""Data Quality""","""Max Temp (°C)""","""Max Temp Flag""","""Min Temp (°C)""","""Min Temp Flag""","""Mean Temp (°C)""","""Mean Temp Flag""","""Heat Deg Days (°C)""","""Heat Deg Days Flag""","""Cool Deg Days (°C)""","""Cool Deg Days Flag""","""Total Rain (mm)""","""Total Rain Flag""","""Total Snow (cm)""","""Total Snow Flag""","""Total Precip (mm)""","""Total Precip Flag""","""Snow on Grnd (cm)""","""Snow on Grnd Flag""","""Dir of Max Gust (10s deg)""","""Dir of Max Gust Flag""","""Spd of Max Gust (km/h)""","""Spd of Max Gust Flag"""
"""2015-01-01""","""2015""","""01""","""01""","""†""","""5.0""","""""","""-5.1""","""""","""-0.1""","""""","""18.1""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2015-01-02""","""2015""","""01""","""02""","""†""","""4.2""","""""","""0.2""","""""","""2.2""","""""","""15.8""","""""","""0.0""","""""","""""","""M""","""""","""M""","""2.6""","""""","""""","""""","""""","""""","""<31""",""""""
"""2015-01-03""","""2015""","""01""","""03""","""†""","""3.8""","""""","""0.3""","""""","""2.1""","""""","""15.9""","""""","""0.0""","""""","""""","""M""","""""","""M""","""2.1""","""""","""""","""""","""""","""""","""<31""",""""""
"""2015-01-04""","""2015""","""01""","""04""","""†""","""6.3""","""""","""1.8""","""""","""4.1""","""""","""13.9""","""""","""0.0""","""""","""""","""M""","""""","""M""","""37.6""","""""","""""","""""","""6""","""""","""39""",""""""
"""2015-01-05""","""2015""","""01""","""05""","""†""","""9.0""","""""","""4.6""","""""","""6.8""","""""","""11.2""","""""","""0.0""","""""","""""","""M""","""""","""M""","""19.9""","""""","""""","""""","""""","""""","""<31""",""""""
"""2015-01-06""","""2015""","""01""","""06""","""†""","""11.3""","""""","""4.1""","""""","""7.7""","""""","""10.3""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2015-01-07""","""2015""","""01""","""07""","""†""","""7.3""","""""","""3.8""","""""","""5.6""","""""","""12.4""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2015-01-08""","""2015""","""01""","""08""","""†""","""5.2""","""""","""3.8""","""""","""4.5""","""""","""13.5""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.0""","""""","""""","""""","""""","""""","""<31""",""""""
"""2015-01-09""","""2015""","""01""","""09""","""†""","""8.6""","""""","""2.3""","""""","""5.5""","""""","""12.5""","""""","""0.0""","""""","""""","""M""","""""","""M""","""0.6""","""""","""""","""""","""""","""""","""<31""",""""""
"""2015-01-10""","""2015""","""01""","""10""","""†""","""7.1""","""""","""5.2""","""""","""6.2""","""""","""11.8""","""""","""0.0""","""""","""""","""M""","""""","""M""","""2.1""","""""","""""","""""","""""","""""","""<31""",""""""
