NODE_NUMBER,BLOCK_NUMBER,LAT,LONG
4,12,49.2734751129783,-123.045469764668
2,12,49.2738587418695,-123.044866108566
3,12,49.2736771579418,-123.044884282933
1,12,49.2737561750459,-123.045565141534
1,12,49.2740797075627,-123.044868934751
2,12,49.2741237684797,-123.045460902577
4,12,49.2734322100489,-123.04488406069
2,33,49.2451510909999,-123.179022433738
1,33,49.2452344134362,-123.179798908381
3,33,49.2452339296574,-123.181334312615
4,33,49.2451703141355,-123.180519450353
1,10,49.2293763697874,-123.129080600841
3,10,49.2294205017133,-123.130337316073
4,10,49.2293022578083,-123.129674972975
5,10,49.2294685118925,-123.131667732938
2,10,49.2292708675182,-123.128424049367
6,10,49.229348026536,-123.131029416548
2,01,49.2833001167954,-123.091309464536
1,01,49.2836921481137,-123.09141863624
10,48,49.2409395519522,-123.101332132631
6,48,49.241513688509,-123.101304415294
5,48,49.2412335139208,-123.101591043693
12,48,49.2406225629605,-123.101359111679
3,48,49.241517696018,-123.101575744933
8,48,49.2412261968425,-123.101318980703
4,48,49.2418035048632,-123.101295624671
1,48,49.2417932731864,-123.101546195199
9,48,49.2406145564778,-123.101615917945
7,48,49.2409468690131,-123.101604180309
1,55,49.2606908613572,-123.092846524015
2,55,49.2605970036004,-123.092185904093
3,55,49.260684090764,-123.091535310684
8,25,49.2590051009626,-123.049477139432
3,25,49.2606531781359,-123.049661730689
5,25,49.2584716245775,-123.049638748349
6,25,49.2595495280087,-123.049475044918
1,25,49.2618436023956,-123.049665344195
7,25,49.2580574818622,-123.049666959849
2,25,49.2611456968576,-123.049484515814
4,25,49.2601909548821,-123.04948336882
0.6,25,49.261876816365,-123.049489095205
5.7,25,49.258087514397,-123.049651803874
2,13,49.2225080551101,-123.136061916023
4,13,49.2225256260224,-123.137434600308
1,13,49.2225828956669,-123.135395963083
3,13,49.2226058557249,-123.136736514536
3,29,49.2480735939245,-123.172093591158
2,29,49.247963361208,-123.171461800741
4,29,49.2479687990453,-123.172786919008
1,29,49.2480722973512,-123.170839851647
2,84,49.2546537289144,-123.029395795319
8,84,49.2527491113926,-123.027444524672
3,84,49.2544869806846,-123.029126956062
6,84,49.2533854824098,-123.028395135321
2,85,49.2520969208704,-123.026445986177
4,84,49.2539130664872,-123.029203215885
3,85,49.2518534575282,-123.026163553723
1,85,49.2524905200085,-123.026817891133
5,84,49.2537046441238,-123.028677067929
7,84,49.2531180244853,-123.027778638906
1,84,49.2548151826077,-123.029577782653
1,46,49.2442376386637,-123.135757285885
2,46,49.2446172144612,-123.135524235381
2,51,49.2404529759736,-123.101839491529
4,51,49.2404464222858,-123.101702384626
1,51,49.240586730892,-123.102353315407
3,51,49.2405702875012,-123.101691332416
6,08,49.2856124871976,-123.116472798335
3,08,49.2855238749231,-123.117194254561
3,08,49.2855390115446,-123.116100448344
4,08,49.2854691073656,-123.116255227084
2,08,49.285256044855,-123.116775476621
8,08,49.2858013553836,-123.116770329036
7,08,49.2858882902527,-123.116640162855
2,08,49.285324604597,-123.116026832692
5,08,49.2857020385159,-123.116352373824
1,08,49.2853992634364,-123.115884495836
1,08,49.2850661134298,-123.116497582518
1,19,49.2604322572057,-123.148605867606
2,19,49.2604441779971,-123.149030214093
5,19,49.2604641903092,-123.150502944914
0.5,19,49.2609955667685,-123.1483730606
6,19,49.2608927931123,-123.150434718032
2,19,49.2608689789895,-123.148392637189
1,19,49.2610084522627,-123.148901085025
4,19,49.2604494089667,-123.150068968598
3,19,49.2610286400664,-123.149928571691
5,19,49.2610301072577,-123.15041227929
4,19,49.2608798281921,-123.149424834188
3,19,49.2604477548357,-123.149652101965
6,60,49.2327198760268,-123.083918666967
12,60,49.2327162623538,-123.082730561358
10,60,49.2327183117009,-123.083096204661
1,60,49.2329054410282,-123.084643478195
8,60,49.2327184869276,-123.083526775141
7,60,49.2328885262203,-123.083511540041
3,60,49.2329027016229,-123.084317996627
5,60,49.2328947269553,-123.083830296641
9,60,49.2328850856732,-123.083105962301
2,60,49.232735532804,-123.084725123459
11,60,49.2328801573893,-123.082715876447
4,60,49.2327417897485,-123.084324549578
7,06,49.277093831256,-123.126019582544
1,06,49.2766098965259,-123.125277580922
5,06,49.2769195257588,-123.125752421015
3,06,49.2767695652166,-123.125522429739
4,06,49.2767134833471,-123.125635435642
6,06,49.2768537540597,-123.125850554174
8,06,49.2770231200964,-123.126110278991
2,06,49.2765301253365,-123.125353956438
1,36,49.2520038552976,-123.070194698425
2,46,49.2451712265623,-123.154739394261
5,46,49.2437102203208,-123.154960562507
1,46,49.2456511576679,-123.15488764709
4,46,49.2441460059498,-123.154777696907
6,46,49.2432675140887,-123.15481034287
3,46,49.2446747474106,-123.154924341081
2,77,49.2141139030209,-123.054716667986
3,77,49.2130041388279,-123.05526082195
5,77,49.2125580816987,-123.055221096822
1,77,49.2138381534162,-123.055131253954
1,77,49.2141329195682,-123.054162056847
4,77,49.2134352153956,-123.055006172255
2,77,49.213855073241,-123.054353682692
1,19,49.2476313414186,-123.149333433507
2,19,49.2475426224923,-123.149728759041
1,34,49.2535735449725,-123.041684227626
4,76,49.2647247835766,-123.050702871634
1,76,49.2648212182918,-123.051361037719
3,76,49.2648220385112,-123.050045385068
1,76,49.2643293190073,-123.051736544213
2,76,49.2647272371508,-123.051962926888
2,76,49.2643286587982,-123.051482717939
3,76,49.2643271795048,-123.050964385524
4,76,49.2643274378158,-123.050375365307
5,76,49.2643261563401,-123.049803978137
4,43,49.2455630302412,-123.109752888235
2,43,49.2458172797477,-123.109231701014
10,09,49.2813789635933,-123.125500428118
4,09,49.2819373243896,-123.124649940092
9,09,49.2815144888274,-123.125687216598
3,09,49.2820679857296,-123.124844003444
12,09,49.281199383241,-123.125773986433
8,09,49.2815683552576,-123.125211905582
11,09,49.2813251859128,-123.125975750977
6,09,49.281743149816,-123.124945755917
7,09,49.2816990245081,-123.125406106486
1,09,49.2822186299649,-123.124625500746
5,09,49.2818737295583,-123.125139956578
2,09,49.2821000326257,-123.124413029302
2,53,49.238021649541,-123.186008188581
1,53,49.2383543998989,-123.186009396966
1,53,49.2381463162998,-123.188272799385
3,53,49.2377167707811,-123.186015464723
2,14,49.2845501201591,-123.135614117173
2,14,49.2846177131296,-123.136619365136
1,14,49.284965229908,-123.136019357042
1,14,49.2843267395569,-123.136167754973
4,44,49.2637338811019,-123.206611251615
9,44,49.2638700940936,-123.20778583801
1,44,49.2638447332732,-123.206226258138
6,44,49.2637316695542,-123.206997508734
5,44,49.2633544966169,-123.208943535445
3,44,49.2638534283467,-123.206610761119
14,44,49.2637607944733,-123.208583930917
12,44,49.2637554370568,-123.208187855585
5,44,49.2638602437311,-123.206994376713
4,44,49.2633445081542,-123.208457595628
15,44,49.2638925873665,-123.208935168978
2,44,49.2637267822825,-123.206229491404
13,44,49.2638855861988,-123.208588277939
10,44,49.2637531002083,-123.207787037367
8,44,49.2637401034289,-123.207390792724
2,44,49.263326544168,-123.207147526541
3,44,49.2633391302073,-123.207957765893
1,44,49.2633153528544,-123.206479865644
16,44,49.263764655035,-123.208926560716
7,44,49.2638633057524,-123.207393631901
11,44,49.2638769450955,-123.208187459614
5,63,49.2159577053979,-123.078406760285
7,63,49.2159278147588,-123.077793770985
1,63,49.2164532527293,-123.079502854199
6,63,49.2163310676052,-123.07729280562
2,63,49.2163519371934,-123.07880963479
1,63,49.215968572283,-123.079772228545
3,63,49.2164424569635,-123.078054090983
4,63,49.2163457119731,-123.077427040243
6,63,49.2159372004708,-123.078148193093
2,63,49.2159664497336,-123.079432359098
8,63,49.2159164476447,-123.077427948861
3,63,49.2159654894415,-123.079088303457
6,82,49.265633874461,-123.03392797358
1,82,49.2657382155068,-123.035612781848
1,82,49.2651861880207,-123.036079881455
2,82,49.2651846247055,-123.0354930626
4,82,49.2655921277257,-123.034834878769
2,82,49.2656320505907,-123.036346368234
3,82,49.265734325547,-123.034166480604
3,82,49.265182251805,-123.034836816932
2,20,49.2280160562022,-123.153020254623
3,20,49.2281030457604,-123.15363294312
1,20,49.2281031665829,-123.15244858017
5,20,49.2281583589138,-123.154978821855
4,20,49.2280344162527,-123.154378623687
5,55,49.2342979943477,-123.065597760344
3,55,49.2345832477153,-123.065588975784
5,54,49.2351467651417,-123.065571328431
8,55,49.2340105030187,-123.0653970067
6,55,49.234295585787,-123.065387671349
2,55,49.2343684764158,-123.064777179891
1,55,49.2348361086762,-123.065581068597
6,54,49.2351497912499,-123.065342533592
7,55,49.2339839106931,-123.065607413225
3,55,49.2340252608404,-123.06478037125
4,55,49.2345791123402,-123.065378375048
2,55,49.2348273858378,-123.065370240946
1,55,49.2347334152903,-123.06477436031
1,01,49.2834007431949,-123.05786888939
1,62,49.2637985013866,-123.078992555206
2,62,49.2637927272404,-123.078410362924
2,62,49.2641896657946,-123.078373276187
2.6,62,49.2641882165373,-123.077735667216
3,62,49.2642936658662,-123.077871397933
1,62,49.2643024578623,-123.079005482576
2,63,49.2271731553918,-123.103623654052
1,65,49.2263200009382,-123.135186095901
2,74,49.263839235823,-123.055323064426
1,74,49.263422383456,-123.055391087599
1,74,49.2639280541555,-123.056033036678
2,74,49.2634272062324,-123.054973917828
2,40,49.2395145106878,-123.193880594157
1,40,49.2395839791186,-123.194427650721
3,40,49.2395876100553,-123.195580582327
5,40,49.239588346216,-123.196709914531
4,40,49.2395193561291,-123.195031344549
6,40,49.2395251289623,-123.19616952863
2,39,49.2489435156425,-123.033092088689
1,39,49.2493844538859,-123.033087780271
2,39,49.2492083911991,-123.033676242122
3,39,49.2489580105169,-123.033947901159
1,39,49.2495001532181,-123.03394652781
2,01,49.262074914821,-123.107112572214
7,01,49.2622183414733,-123.109256956009
4,01,49.2620881350293,-123.107609233752
6,01,49.262101159476,-123.108370196166
5,01,49.2621987265617,-123.108451088449
8,01,49.2621128733861,-123.109141972785
3,01,49.2621913485904,-123.107780216475
1,01,49.2621714582746,-123.107105153123
1,76,49.2394690148671,-123.051838292616
2,76,49.2395812068227,-123.051165030649
4,76,49.2389505472816,-123.050682306885
1,76,49.2398919607508,-123.051580130478
